gil,type,command,cycles,instructions,task_clock,time_elapsed,user_time,sys_time
true,multiprocessing,imap.py,4943349270,6804966137,1719.54,0.593146570,1.403944000,0.380605000
true,multiprocessing,imap.py,4471183073,6093235004,1601.40,0.551938403,1.218243000,0.443995000
true,multiprocessing,imap.py,4939821349,6737000800,1801.32,0.670905687,1.334607000,0.546374000
true,multiprocessing,imap.py,4556685088,6244116516,1615.36,0.600547311,1.298334000,0.386279000
true,multiprocessing,imap.py,4947014039,6839065163,1777.78,0.759049219,1.236316000,0.628115000
true,multiprocessing,imap.py,4518458253,6200529498,1575.25,0.553911794,1.221839000,0.404858000
true,multiprocessing,map_async.py,162821379219,244975927133,56990.81,6.847041050,56.687967000,0.299166000
true,multiprocessing,map_async.py,167881110790,244870073814,65987.29,7.843857876,65.802963000,0.183183000
true,multiprocessing,map_async.py,167106104945,244707482411,58836.09,7.000596930,58.617880000,0.219728000
true,multiprocessing,map_async.py,162296049897,244906803706,57046.12,6.829890627,56.839118000,0.206949000
true,multiprocessing,map_async.py,162241168361,244927184453,57031.76,6.882038316,56.843112000,0.189902000
true,multiprocessing,map_async.py,162555618069,244820186366,64383.32,7.723593337,64.058650000,0.326428000
true,multiprocessing,map_async.py,162496122626,245237934237,57566.11,6.836879408,57.281000000,0.283863000
true,multiprocessing,map_async.py,167232901317,245106311254,59595.04,7.128466808,59.375099000,0.220290000
true,multiprocessing,map_async.py,162204203523,244660243876,57902.14,7.149865531,57.697301000,0.206305000
true,multiprocessing,map_async.py,162580075369,244778234073,63166.10,7.543318014,62.968185000,0.195977000
true,multiprocessing,map_async.py,163111365619,245188730602,61177.84,7.261662131,60.954783000,0.218542000
true,multiprocessing,map_async.py,162997583439,245167305757,58436.91,6.978219338,58.277091000,0.162608000
true,multiprocessing,map_async.py,162926331901,244919471720,58753.08,7.010419150,58.580380000,0.176373000
true,multiprocessing,map_async.py,161497481021,244683130187,62766.40,7.457287362,62.544109000,0.218707000
true,multiprocessing,map_async.py,162343544437,244880449047,64721.87,7.688261657,64.462111000,0.257766000
true,multiprocessing,map_async.py,166856626028,244907699140,61684.67,7.337687324,61.566464000,0.120630000
true,multiprocessing,map_async.py,162584170903,245381470333,59301.29,7.068381902,59.075403000,0.226940000
true,multiprocessing,map_async.py,162707687169,245201143131,60751.44,7.663449962,60.565339000,0.184745000
true,multiprocessing,map_async.py,162549543085,244873226734,61402.22,7.326081693,61.296994000,0.108353000
true,multiprocessing,map_async.py,162694454283,244723177654,59675.33,7.112818351,59.407374000,0.272351000
true,multiprocessing,map_async.py,165733195557,244650309834,60800.28,7.272367483,60.615902000,0.186124000
true,multiprocessing,map_async.py,167462719175,245223697137,62097.34,7.479715816,61.971717000,0.129319000
true,multiprocessing,map_async.py,163110008380,245198723701,67356.02,8.084032633,67.134123000,0.216382000
true,multiprocessing,map_async.py,163183920161,245064595814,61142.79,7.268163392,60.949945000,0.195070000
true,multiprocessing,map_async.py,160729235599,244833252701,62463.18,7.535562483,62.178137000,0.282695000
true,multiprocessing,map_async.py,165580123331,245304753773,62580.36,7.752419625,62.239725000,0.338901000
true,multiprocessing,map_async.py,164013299483,244869964968,68021.63,8.301951030,67.705323000,0.314794000
true,multiprocessing,map_async.py,167225260651,244974440302,62456.53,7.437565646,62.274778000,0.185167000
true,multiprocessing,map_async.py,162888596337,244537102843,61259.27,7.273180101,61.119408000,0.142452000
true,multiprocessing,map_async.py,163447824160,244921570774,62423.06,7.426539400,62.232544000,0.193914000
true,multiprocessing,map.py,163128759836,245012651123,67604.72,8.033287416,67.450819000,0.152449000
true,multiprocessing,map.py,167168531927,245283099070,62896.13,7.492812759,62.677547000,0.215985000
